ID,Speaker,Text,Event
1,조교,신입생 환영회에 온 것을 환영한다.,NONE
2,조교,아카데미 입학 처리를 위해 서류를 작성해야 해.,NONE
3,조교,자네의 이름은 무엇인가?,NAME_INPUT
4,조교,{NAME}? 흐음... 기억해두지.,NONE
5,조교,"자, 이제 나를 따라와라. 하단의 [스케줄] 버튼을 눌러서 이동할 곳을 확인해.",SCHEDULE_GUIDE
10,조교,이곳이 네가 활동할 아카데미의 지도다.,NONE
11,조교,<color=yellow>[본관]</color>에서는 수업을 듣거나 동료들과 교류할 수 있다.,NONE
12,조교,<color=yellow>[운동장]</color>은 체력 단련이나 실전 훈련을 하는 곳이다.,NONE
13,조교,"<color=yellow>[외출]</color>을 하면 외부 임무를 수행하거나, 상가로 나갈 수 있다.",NONE
14,조교,지금은 수업 시간이니 <color=yellow>[본관]</color>으로 이동하도록.,FORCE_MAIN_BUILDING
20,조교,좋다. 이렇게 각 시간대별로 네가 가고 싶은 곳을 가면 된다.,NONE
21,조교,"참, 평일엔 수업을 빼먹지 말고.",NONE
22,조교,이제 자유롭게 행동해라.,EXIT
